gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S.wing,viable,notes,one,morenotes,keep
1003,114,8.17.21,8.20.21,9.22.21,,KL,M,N,Y,,1,,
1005,114,8.17.21,8.20.21,9.29.21,,KL,M,N,Y,,1,,
1007,114,8.17.21,8.20.21,9.23.21,,KL,M,N,Y,,1,,
1009,114,8.17.21,8.20.21,9.22.21,,KL,M,N,Y,,1,,
1010,114,8.17.21,8.26.21,9.21.21,,KL,M,N,Y,,1,,
1011,114,8.17.21,8.20.21,9.21.21,,KL,F,N,Y,,1,,
1013,114,8.17.21,8.26.21,9.25.21,,KL,F,N,Y,,1,,
1016,114,8.17.21,8.26.21,9.28.21,,KL,F,N,Y,,1,,
1017,114,8.17.21,8.20.21,9.21.21,,KL,F,N,Y,,1,,
1020,114,8.17.21,8.29.21,9.26.21,,KL,M,N,Y,,1,,
1104,114,8.19.21,8.29.21,9.27.21,,KL,M,N,Y,,1,,
1105,114,8.19.21,8.29.21,9.25.21,,KL,F,N,Y,,1,,
1108,114,8.19.21,8.29.21,9.27.21,,KL,M,N,Y,,1,,
1109,114,8.19.21,8.29.21,10.01.21,,KL,F,N,Y,,1,,
1111,114,8.19.21,8.30.21,10.04.21,,KL,F,N,Y,10.2-10.4,1,,
1113,114,8.19.21,8.29.21,9.28.21,,KL,F,N,Y,,1,,
1114,114,8.19.21,8.29.21,9.25.21,,KL,M,N,Y,,1,,
1117,114,8.19.21,8.29.21,9.25.21,,KL,M,N,Y,,1,,
1118,114,8.19.21,8.29.21,9.25.21,,KL,F,N,Y,,1,,
1120,114,8.19.21,8.29.21,9.27.21,10.20.21,KL,M,N,Y,,1,,
1121,114,8.19.21,8.29.21,9.26.21,,KL,F,N,Y,,1,,
1122,114,8.19.21,8.27.21,9.27.21,,KL,M,N,Y,,1,,
1123,114,8.19.21,8.27.21,9.26.21,,KL,F,N,Y,,1,,
1125,114,8.19.21,8.29.21,10.04.21,,KL,M,N,Y,10.2-10.4,1,,
1206,114,8.25.21,8.29.21,9.25.21,,KL,F,N,Y,,1,,
1208,114,8.25.21,8.31.21,9.30.21,,KL,F,N,Y,,1,,
1210,114,8.25.21,8.30.21,9.28.21,,KL,M,N,Y,,1,,
1211,114,8.25.21,9.1.21,9.29.21,,KL,M,N,Y,,1,,
1212,114,8.25.21,8.31.21,9.29.21,,KL,F,N,Y,,1,,
1214,114,8.25.21,9.2.21,9.29.21,,KL,F,N,Y,,1,,
1215,114,8.25.21,9.2.21,9.28.21,,KL,M,N,Y,,1,,
1218,114,8.25.21,9.1.21,9.29.21,,KL,M,N,Y,,1,,
1219,114,8.25.21,8.31.21,9.29.21,,KL,M,N,Y,,1,,
1225,114,8.25.21,9.1.21,10.01.21,,KL,F,N,Y,,1,,
1223,,,,,,,,,,,,,
1227,114,8.25.21,9.2.21,10.01.21,,KL,M,N,Y,,1,,
1231,114,8.25.21,8.31.21,9.27.21,,KL,M,N,Y,,1,,
1233,114,8.25.21,9.1.21,9.28.21,,KL,F,N,Y,,1,,
1234,114,8.25.21,8.31.21,9.27.21,,KL,M,N,Y,,1,,
1235,114,8.25.21,8.29.21,9.24.21,,KL,F,N,Y,,1,,
1236,114,8.25.21,9.1.21,10.04.21,,KL,M,N,Y,10.2-10.4,1,,
1237,114,8.25.21,,10.04.21,,KL,M,N,,10.2-10.4,1,,
1240,114,8.25.21,8.30.21,9.28.21,,KL,M,N,Y,,1,,
1244,114,8.25.21,9.2.21,9.27.21,,KL,F,N,Y,,1,,
1249,114,8.25.21,8.30.21,9.28.21,,KL,M,N,Y,,1,,
1252,114,8.25.21,8.30.21,10.04.21,,KL,F,N,Y,10.2-10.4,1,,
1542,114,9.8.21,9.8.21,10.18.21,,KL,F,N,Y,10.16-10.18,1,no,no
1544,114,9.8.21,9.8.21,10.07.21,,KL,F,N,Y,,1,justtested,
1544.5,114,9.8.21,9.8.21,10.05.21,,KL,M,N,Y,,1,no,no
1570,114,9.10.21,9.10.21,10.07.21,,KL,F,N,Y,,1,justtested,