MIDF,females,males,MIDM,wing_dateF,wing_dateM,ageF,ageM,agediff,pairID,mate_time,mate_date
114,1121,1318,16,9.26.21,9.28.21,36,34,2,PI,,11.01.21
114,1544,1260,16,10.07.21,10.04.21,25,28,-3,P2,,11.01.21
114,1225,1065,16,10.01.21,9.22.21,31,40,-9,P3,,11.01.21
114,1233,1039,16,9.28.21,9.27.21,34,35,-1,P4,,11.01.21
114,1118,1688,16,9.25.21,10.07.21,37,25,12,P5,,11.01.21
114,1013,1335,16,9.25.21,9.24.21,37,38,-1,P6,,11.01.21
114,1206,1284,16,9.25.21,10.04.21,37,28,9,P7,,11.01.21
114,1113,1315,16,9.28.21,10.04.21,34,28,6,P8,,11.01.21
114,1111,1305,16,10.04.21,9.26.21,28,36,-8,P9,,11.01.21
114,1105,1300,16,9.25.21,9.24.21,37,38,-1,P10,,11.01.21
114,1244,1560.5,16,9.27.21,10.05.21,35,27,8,P11,,11.01.21
114,1570,1685,16,10.07.21,10.12.21,25,20,5,P12,,11.01.21
114,1212,1287,16,9.29.21,9.28.21,33,34,-1,P13,,11.01.21
114,1235,1256,16,9.24.21,9.25.21,38,37,1,P14,,11.01.21
114,1011,1307,16,9.21.21,9.25.21,41,37,4,P15,,11.01.21
114,1017,1322,16,9.21.21,9.29.21,41,33,8,P16,,11.01.21
114,1214,1283,16,9.29.21,9.25.21,33,37,-4,P17,,11.01.21
114,1109,1319,16,10.01.21,9.28.21,31,34,-3,P18,,11.01.21
114,1252,1557.5,16,10.04.21,10.07.21,28,25,3,P19,,11.01.21
114,1208,1302,16,9.30.21,10.01.21,32,31,1,P20,,11.01.21
,,,,,,,,,\,,